Item,A Light in the Attic,Black Dust,Chase Me (Paris Nights #2),"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",How Music Works,In Her Wake,It's Only the Himalayas,Libertarianism for Beginners,Mesaerion: The Best Science Fiction Stories 1800-1849,Olio,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Rip it Up and Start Again,Sapiens: A Brief History of Humankind,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Set Me Free,Shakespeare's Sonnets,Sharp Objects,Soumission,"Starving Hearts (Triangular Trade Trilogy, #1)",The Black Maria,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",The Dirty Little Secrets of Getting Your Dream Job,The Requiem Red,Tipping the Velvet
A Light in the Attic,0.9999999999999992,0.6640571077005586,0.6641539628355161,0.7598711535296436,0.7257820058650889,0.7682497859756314,0.7300525656771613,0.7521794876606515,0.7372140301015366,0.6533809484127683,0.756192731121231,0.7198764868202853,0.7208650252543418,0.668447096287623,0.6775138446017861,0.589834271081301,0.7049713197198144,0.6868700885027842,0.6907423658135172,0.6336945840946813,0.6687773982401106,0.7056533902640624,0.6420623015869538,0.6600068317502743,0.6661952725624539
Black Dust,0.6640571077005586,0.9999999999999999,0.7027487033843726,0.7041161839081616,0.7211194212760326,0.6603650776600912,0.7320870612838961,0.673553041125503,0.7072795148374644,0.6981981981981982,0.7477833038552658,0.8088935399796449,0.7207204147081216,0.7153591794624535,0.7507378431307393,0.729883658570153,0.7090205773168555,0.7095972278739899,0.7029104253864534,0.7241259163417076,0.6102180996356023,0.7316245823807933,0.6555434910434264,0.6898300715070259,0.7548353065713147
Chase Me (Paris Nights #2),0.6641539628355161,0.7027487033843726,1.0000000000000002,0.7221721912680953,0.6440502802032216,0.7312407435076712,0.7179459141337636,0.7081759188361341,0.7848971821469996,0.6588269094228493,0.6541974252863126,0.755859378630599,0.7050226716854128,0.7115514504324789,0.6733620801434005,0.6580925537788203,0.7693268769189111,0.7770917954095138,0.7035986756160321,0.7438519422515713,0.6625195063691911,0.6712713891199775,0.7238585649077242,0.7200837230762724,0.6628179785826451
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",0.7598711535296436,0.7041161839081616,0.7221721912680953,1.0000000000000002,0.7152030343443928,0.7938949242192852,0.8306393772094576,0.7709594203250482,0.7005891434760434,0.6899121110339338,0.7242392378771619,0.7269816269958822,0.7691078634699938,0.751915029808617,0.6351834247015271,0.6694683943607872,0.7653769309034885,0.7314598191321086,0.709024450365187,0.7265825412256298,0.6764929475609829,0.6637302650772338,0.7001247251282644,0.7168201240485674,0.7570882449620775
How Music Works,0.7257820058650889,0.7211194212760326,0.6440502802032216,0.7152030343443928,1.0,0.6688516593652329,0.753075076851823,0.7287643606442101,0.7657480372140532,0.7231393636325486,0.7377180261163282,0.7290159107268688,0.7739840565223245,0.6858194481955793,0.7768875491337891,0.7729004671860413,0.79486028614868,0.7396062762707047,0.7225610223314957,0.7384885497854731,0.6908884317694949,0.7313458141589918,0.7884452408141074,0.7458285758134751,0.7368206742133286
In Her Wake,0.7682497859756314,0.6603650776600912,0.7312407435076712,0.7938949242192852,0.6688516593652329,0.9999999999999999,0.7317661741615974,0.7715294915177924,0.706589326187825,0.6791136129879803,0.7377552249281891,0.6968232081633423,0.6515130114296006,0.6350372244102032,0.67879925931917,0.5795197252554121,0.6537934339071727,0.6425295162503477,0.7408587512903579,0.6428839828071874,0.6344582443383805,0.7424901390774481,0.7227779143779004,0.6693579634248185,0.6557380098078719
It's Only the Himalayas,0.7300525656771613,0.7320870612838961,0.7179459141337636,0.8306393772094576,0.753075076851823,0.7317661741615974,0.9999999999999999,0.7858682668274143,0.7668541262115325,0.675123514728665,0.7588467825698778,0.7447179181227855,0.836803224444083,0.7163150517042997,0.653654023556156,0.7557842677444166,0.7937564904382636,0.7744896688138095,0.7262527660070127,0.7577144965186549,0.7763382376405266,0.7186525502165648,0.6832034813101643,0.713580953894031,0.7988829818244979
Libertarianism for Beginners,0.7521794876606515,0.673553041125503,0.7081759188361341,0.7709594203250482,0.7287643606442101,0.7715294915177924,0.7858682668274143,1.0000000000000002,0.7548098965552438,0.680743998859939,0.6941468593761223,0.6984054975339515,0.7670351659956681,0.7000730192362155,0.6939871941876506,0.7206339602884603,0.722375645320932,0.6758221043938708,0.6710358220449633,0.6366317700439177,0.7162173169577111,0.7678256093059569,0.7369426661630541,0.7476718981844689,0.7123560531656614
Mesaerion: The Best Science Fiction Stories 1800-1849,0.7372140301015366,0.7072795148374644,0.7848971821469996,0.7005891434760434,0.7657480372140532,0.706589326187825,0.7668541262115325,0.7548098965552438,1.0,0.7541709743846995,0.7441985068679734,0.7791030153730092,0.7587611591824278,0.7079472456590122,0.6637832871982627,0.7361534309255024,0.7838387992689106,0.7338776518420186,0.7272662216119448,0.6933017906232144,0.747109963229208,0.7536806871704905,0.8078250907265072,0.7159037027903744,0.7669639850315328
Olio,0.6533809484127683,0.6981981981981982,0.6588269094228493,0.6899121110339338,0.7231393636325486,0.6791136129879803,0.675123514728665,0.680743998859939,0.7541709743846995,0.9999999999999999,0.7249343695707995,0.8108761221854771,0.6647421300705975,0.7544161461572426,0.7483316320950637,0.6947085424944829,0.7587384836530985,0.6818952339930234,0.7659621911187932,0.7483441744133369,0.6448404031610266,0.7163824035811936,0.6946156196486634,0.67290172619397,0.6776836315902686
